OrderID,OrderDate,CustomerID,Age,Gender,Region,Category,Product,Quantity,UnitPrice,DiscountPct,TotalAmount,SalesChannel,PaymentMethod
1,2024-09-06,CUST7265,36,Other,East,Beauty,Soap,3,781.89,10,2111.1,Mobile App,UPI
2,2024-02-18,CUST7949,19,Male,North,Beauty,Perfume,5,970.21,5,4608.5,In-Store,UPI
3,2024-11-12,CUST3047,45,Other,East,Beauty,Shampoo,1,529.53,20,423.62,Mobile App,Cash
4,2023-06-16,CUST6393,21,Male,West,Electronics,Headphones,5,611.47,10,2751.62,In-Store,Debit Card
5,2023-04-02,CUST6486,24,Male,East,Clothing,T-Shirt,2,106.7,5,202.73,In-Store,Credit Card
6,2024-07-19,CUST4843,46,Other,South,Beauty,Lotion,4,318.59,15,1083.21,In-Store,Cash
7,2024-03-31,CUST8629,40,Male,Central,Clothing,Jeans,4,601.92,20,1926.14,Online,Debit Card
8,2024-05-07,CUST8208,46,Other,Central,Sports,Yoga Mat,1,288.13,5,273.72,Online,Credit Card
9,2023-05-19,CUST6618,34,Other,East,Electronics,Laptop,4,300.55,20,961.76,Online,PayPal
10,2023-07-20,CUST4104,65,Other,Central,Sports,Yoga Mat,2,124.71,20,199.54,Mobile App,Cash
11,2024-04-06,CUST4840,22,Female,East,Home,Rug,1,389.1,20,311.28,Online,Debit Card
12,2023-08-29,CUST9755,49,Female,Central,Clothing,Shoes,5,209.7,20,838.8,Mobile App,UPI
13,2024-11-29,CUST4157,45,Female,South,Home,Chair,4,943.43,20,3018.98,Online,Credit Card
14,2023-11-27,CUST2663,45,Male,North,Sports,Bicycle,4,226.26,5,859.79,Online,Credit Card
15,2023-12-25,CUST9901,25,Other,North,Home,Sofa,4,359.04,0,1436.16,In-Store,UPI
16,2024-01-09,CUST2495,58,Male,North,Electronics,Headphones,2,344.24,20,550.78,In-Store,Cash
17,2023-03-22,CUST1698,66,Female,South,Beauty,Lotion,3,307.87,0,923.61,In-Store,UPI
18,2024-11-14,CUST6791,23,Other,West,Electronics,Laptop,3,683.9,10,1846.53,Mobile App,PayPal
19,2024-05-25,CUST7287,50,Male,West,Home,Sofa,5,635.98,15,2702.92,Mobile App,UPI
